feature,importance
feature_153,8.056138580611191e-10
feature_134,5.327010459093909e-10
feature_67,3.924072035537767e-10
feature_133,3.5895789034391174e-10
feature_137,3.2684980766821905e-10
feature_145,1.2287754472333152e-10
feature_38,1.0124660661816018e-10
feature_96,6.78889823138552e-11
feature_79,0.0
feature_82,0.0
feature_71,0.0
feature_85,0.0
feature_91,0.0
feature_95,0.0
feature_163,0.0
feature_114,0.0
feature_122,0.0
feature_181,0.0
feature_33,0.0
feature_138,0.0
feature_184,0.0
feature_185,0.0
